X1,X2,X3,X4,X5,X6,X7,X8,X9,Y
668,1,47,7,106854.21,1,0,1,157959.02,1
695,1,46,7,49512.55,1,1,0,133007.34,0
807,1,43,1,105799.32,2,1,0,34888.04,1
592,1,54,8,0,1,1,1,28737.71,1
850,1,33,10,0,1,1,0,4861.72,1
671,1,45,6,99564.22,1,1,1,108872.45,1
670,1,37,4,170557.91,2,1,0,198252.88,0
694,0,30,9,0,2,1,1,26960.31,0
547,0,39,6,74596.15,3,1,1,85746.52,1
751,1,50,2,96888.39,1,1,0,77206.25,1
594,0,29,3,130830.22,1,1,0,61048.53,0
767,1,20,3,119714.25,2,0,1,150135.38,0
763,1,42,6,100160.75,1,1,0,33462.94,1
712,0,29,2,0,1,1,1,144375,0
539,0,43,3,116220.5,3,1,0,55803.96,1
668,0,46,2,0,3,1,0,89048.46,1
659,1,67,6,117411.6,1,1,1,45071.09,1
523,1,34,7,0,2,1,0,62030.06,0
635,0,40,10,123497.58,1,1,0,131953.23,1
545,0,26,1,0,2,1,1,199638.56,0
739,1,54,8,126418.14,1,1,0,134420.75,1
681,0,79,0,0,2,0,1,170968.99,0
544,1,37,2,79731.91,1,1,1,57558.95,0
726,0,48,6,99906.19,1,1,0,64323.24,0
498,1,34,2,0,2,1,1,148528.24,0
651,1,36,7,0,2,1,0,13898.31,0
549,0,39,7,0,1,0,0,81259.25,1
791,0,35,7,52436.2,1,1,0,161051.75,0
733,1,34,3,100337.96,3,1,0,48559.19,1
811,0,34,1,149297.19,2,1,1,186339.74,0
706,0,37,7,0,2,1,1,110899.3,0
756,1,62,3,0,1,1,1,11199.04,1
714,1,46,1,0,1,1,0,152167.79,1
775,1,29,10,0,2,1,1,68143.93,0
479,1,35,4,138718.92,1,1,1,47251.79,1
750,0,34,9,112822.26,1,0,0,150401.53,1
681,1,38,3,0,2,1,1,112491.96,0
687,0,44,7,0,3,1,0,155853.52,1
627,1,33,5,0,2,1,1,103737.82,0
694,0,31,10,0,2,1,0,160990.27,0
731,1,43,2,0,1,1,1,170034.95,1
614,1,50,4,137104.47,1,1,0,127166.49,1
438,1,31,8,78398.69,1,1,0,44937.01,0
642,1,38,3,0,2,0,0,171463.83,0
744,1,36,2,153804.44,1,1,1,87213.33,0
474,1,37,3,0,2,0,0,57175.32,0
559,1,49,2,147069.78,1,1,0,120540.83,1
525,0,57,2,145965.33,1,1,1,64448.36,0
680,0,30,8,141441.75,1,1,1,16278.97,0
749,1,40,1,139290.41,1,1,0,182855.42,1
734,1,30,3,0,2,1,0,107640.25,0
644,0,46,9,95441.27,1,1,0,108761.05,1
584,0,30,8,112013.81,1,1,0,177772.03,1
626,0,37,6,108269.37,1,1,0,5597.94,0
485,1,29,7,182123.79,1,1,0,116828.51,1
649,1,33,2,0,2,1,0,2010.98,0
805,0,39,5,165272.13,1,1,0,14109.85,1
716,0,39,10,115301.31,1,1,0,43527.4,1
642,0,40,6,129502.49,2,0,1,86099.23,1
543,1,22,8,0,2,0,0,127587.22,0
643,1,59,3,170331.37,1,1,1,32171.79,0
582,1,39,5,0,2,1,1,129892.93,0
613,0,45,1,187841.99,2,1,1,147224.27,0
539,1,30,0,0,2,1,0,160979.66,0
850,0,57,8,126776.3,2,1,1,132298.49,0
522,1,34,9,126436.29,1,1,0,174248.52,1
643,0,45,2,150842.93,1,0,1,2319.96,1
648,0,50,9,102535.57,1,1,1,189543.19,0
593,0,29,2,152265.43,1,1,0,34004.44,0
801,1,42,4,141947.67,1,1,1,10598.29,0
640,0,75,1,106307.91,2,0,1,113428.77,0
802,1,31,1,125013.72,1,1,1,187658.09,0
745,1,45,10,117231.63,3,1,1,122381.02,1
687,0,39,2,0,3,0,0,188150.6,1
705,1,44,3,105934.96,1,1,0,82463.69,0
730,1,62,2,0,2,1,1,186489.95,0
544,0,21,10,161525.96,2,1,0,9262.77,0
752,1,38,3,183102.29,1,1,1,71557.12,0
648,1,46,9,127209,2,1,0,77405.95,1
556,1,38,8,0,2,0,0,417.41,1
594,0,24,0,97378.54,1,1,1,71405.17,0
557,1,33,3,54503.55,1,1,1,371.05,0
616,0,66,1,135842.41,1,1,0,183840.51,1
605,1,52,1,63349.75,1,1,0,108887.44,0
751,1,52,8,0,2,0,1,179291.85,0
443,1,36,6,70438.01,2,0,1,56937.43,0
685,1,23,8,0,2,1,1,112239.03,0
718,1,36,9,0,1,1,0,45909.87,0
538,0,49,9,141434.04,1,0,0,173779.25,1
668,1,37,10,152958.29,2,1,1,159585.61,0
709,1,23,10,0,2,0,0,129590.18,0
693,0,41,9,181461.48,3,1,1,187929.43,1
795,1,35,8,0,2,1,0,167155.36,0
487,0,61,5,110368.03,1,0,0,11384.45,1
643,0,46,6,0,2,0,0,106781.59,0
756,0,60,3,115924.89,1,1,0,93524.19,1
535,1,40,7,111756.5,1,1,0,8128.32,1
492,1,39,10,124576.65,2,1,0,148584.61,0
568,1,40,1,99282.63,1,0,0,134600.94,1
619,1,57,3,137946.39,1,1,1,72467.99,1
724,1,41,2,127892.57,2,0,1,199645.45,0
545,0,37,8,114754.08,1,1,0,136050.44,1
762,0,51,3,99286.98,1,0,1,85578.63,0
800,0,38,2,168190.33,2,1,0,68052.08,0
534,0,34,7,121551.58,2,1,1,70179,0
553,1,47,3,116528.15,1,0,0,145704.19,1
675,0,38,6,68065.8,1,0,0,138777,1
758,0,39,6,127357.76,1,0,1,56577,0
711,1,38,3,0,2,1,0,68487.51,0
514,1,43,1,95556.31,1,0,1,199273.98,1
662,0,32,4,133950.37,1,1,1,48725.68,1
608,1,33,9,89968.69,1,1,0,68777.26,0
850,0,32,9,0,2,1,1,18924.92,0
816,0,38,5,130878.75,3,1,0,71905.77,1
753,1,35,3,0,2,1,1,184843.77,0
703,1,37,1,149762.08,1,1,0,20629.4,1
774,1,26,2,93844.69,1,1,0,28415.36,0
621,1,46,6,141078.37,1,0,0,34580.8,1
788,1,34,6,156478.62,1,0,1,181196.76,0
615,1,61,9,0,2,1,0,150227.85,1
542,1,39,3,135096.77,1,1,1,14353.43,1
591,1,29,1,97541.24,1,1,1,196356.17,0
710,0,41,2,156067.05,1,1,1,9983.88,0
639,0,38,4,81550.94,2,0,1,118974.77,0
531,0,47,6,0,1,0,0,194998.34,1
673,0,38,2,170061.92,2,0,0,134901.34,1
570,0,58,8,0,1,0,1,116503.92,1
774,1,60,5,85891.55,1,1,0,74135.48,1
733,1,22,5,0,2,1,1,117202.19,0
735,1,34,5,0,2,0,0,71095.41,0
605,0,51,3,136188.78,1,1,1,67110.59,1
793,1,38,9,0,2,1,0,88225.02,0
468,0,56,10,0,3,0,1,62256.87,1
698,1,48,4,101238.24,2,0,1,177815.87,1
707,1,58,6,89685.92,1,0,1,126471.13,0
850,0,35,1,211774.31,1,1,0,188574.12,1
527,1,37,5,93722.73,2,1,1,139093.73,0
610,1,26,8,0,2,1,0,166031.08,0
572,0,48,3,152827.99,1,1,0,38411.79,1
729,1,32,6,93694.42,1,1,1,79919.13,0
608,1,59,1,0,1,1,0,70649.64,1
686,1,34,9,0,2,1,0,127569.8,0
564,0,62,5,114931.35,3,0,1,18260.98,1
745,0,28,1,111071.36,1,1,0,73275.96,1
721,1,51,0,169312.13,1,1,0,109078.35,1
504,0,49,7,0,3,0,1,87822.14,1
479,0,30,7,143964.36,2,1,0,41879.99,0
749,1,24,1,0,3,1,1,47911.03,0
721,0,36,3,65253.07,2,1,0,28737.78,0
674,1,47,6,106901.94,1,1,1,2079.2,1
685,0,25,10,128509.63,1,1,0,121562.33,0
417,1,34,7,0,2,1,0,55003.79,0
590,0,51,3,154962.99,3,0,1,191932.27,1
598,1,41,3,91536.93,1,1,0,191468.78,1
584,0,29,7,105204.01,1,0,1,138490.03,0
607,1,36,8,158261.68,1,1,1,76744.72,0
509,0,46,1,0,1,1,0,71244.59,1
689,0,38,6,121021.05,1,1,1,12182.15,0
438,0,54,2,0,1,0,0,191763.07,1
687,0,63,1,137715.66,1,1,1,37938.74,0
651,1,45,1,0,1,1,0,67740.08,1
745,1,35,9,92566.53,2,1,0,161519.77,0
648,0,49,10,0,2,1,1,159835.78,1
848,1,40,3,110929.96,1,1,1,30876.84,0
546,0,27,8,0,2,1,1,14858.1,0
439,0,32,3,138901.61,1,1,0,75685.97,0
607,0,33,2,108431.87,2,0,1,109291.39,1
647,0,51,1,119741.77,2,0,0,54954.51,1
760,0,51,2,100946.71,1,0,0,179614.8,1
621,1,53,9,170491.84,1,1,0,35588.07,1
725,1,44,5,0,1,1,1,117356.14,0
519,0,47,6,157296.02,2,0,0,147278.43,1
713,0,38,7,144606.22,1,1,1,56594.36,1
700,1,38,8,134811.3,1,1,0,1299.75,0
630,1,32,4,82034,1,0,0,146326.45,0
646,1,39,9,111574.41,1,1,1,30838.51,0
683,0,57,5,162448.69,1,0,0,9221.78,1
484,0,34,4,148249.54,1,0,1,33738.27,0
601,0,43,8,0,3,0,1,110916.15,1
566,1,30,5,0,1,1,0,54926.51,1
601,1,29,9,0,1,1,1,80393.27,0
698,0,51,2,111018.98,1,1,0,86410.28,0
495,1,30,10,129755.99,1,0,0,172749.65,0
650,0,27,6,0,2,1,0,1002.39,0
605,0,64,2,129555.7,1,1,1,13601.79,0
667,1,38,1,87202.38,1,1,1,77866.91,0
727,0,31,0,0,1,1,0,121751.04,1
754,1,39,6,170184.99,2,1,0,89593.26,0
612,0,62,8,140745.33,1,1,0,193437.89,1
546,1,42,7,139070.51,1,1,1,86945,0
673,0,37,8,0,2,1,1,183318.79,0
427,1,29,1,141325.56,1,1,1,93839.3,0
752,1,49,2,78653.84,1,1,0,7698.6,0
799,0,28,3,142253.65,1,1,0,45042.56,0
589,0,61,1,0,1,1,0,61108.56,1
583,0,54,6,115988.86,1,1,0,57553.98,1
540,1,44,3,164113.04,2,1,1,12120.79,0
850,1,31,6,67996.23,2,0,0,50129.87,1
744,0,43,10,147832.15,1,0,1,24234.11,0
785,0,36,4,135438.4,1,0,0,190627.01,0
752,1,48,5,116060.08,1,1,0,156618.38,1
660,0,39,5,135134.99,1,1,0,173683,1
819,0,39,9,133102.92,1,1,0,27046.46,1
673,0,34,8,42157.08,1,1,0,20598.59,1
720,1,52,7,0,1,1,1,14781.12,0
459,1,48,4,133994.52,1,1,1,19287.06,1
544,1,64,9,113829.45,1,1,1,124341.49,0
632,0,41,3,81877.38,1,1,1,33642.21,0
695,1,46,4,0,2,1,1,137537.22,0
661,1,33,9,0,2,1,1,84174.81,0
640,0,42,5,176099.13,1,1,1,8404.73,0
624,0,48,3,122388.38,2,0,0,30020.09,0
640,0,32,6,118879.35,2,1,1,19131.71,0
563,0,39,5,0,2,1,1,17603.81,0
739,1,45,7,102703.62,1,0,1,147802.94,1
684,0,38,3,0,2,1,0,44255.65,0
651,0,41,4,133432.59,1,0,1,151303.48,0
749,0,40,8,141782.57,2,0,0,86333.63,0
661,1,42,2,178820.91,1,0,0,29358.57,1
769,0,45,5,126674.81,1,1,0,124118.71,1
625,0,51,7,136294.97,1,1,0,38867.46,1
589,1,34,6,0,2,1,1,177896.92,0
445,1,62,1,64119.38,1,1,1,76569.64,1
543,0,57,1,106138.33,2,1,1,120657.32,1
746,1,36,2,0,2,1,1,16436.56,0
669,1,30,7,95128.86,1,0,0,19799.26,0
750,1,40,5,168286.81,3,1,0,20451.99,1
580,0,35,8,0,2,0,1,10357.03,0
501,0,41,3,144260.5,1,1,0,172114.67,0
650,0,25,3,86605.5,3,1,0,16649.31,1
672,0,56,2,209767.31,2,1,1,150694.42,1
459,0,42,6,129634.25,2,1,1,177683.02,1
580,1,37,9,0,2,0,1,77108.66,0
711,0,25,7,0,3,1,1,9679.28,0
673,0,40,5,137494.28,1,1,0,81753.92,0
499,0,57,1,0,1,0,0,131372.38,1
591,1,24,6,147360,1,1,1,25310.82,0
769,0,25,10,0,2,0,0,187925.75,0
738,1,43,9,121152.05,2,1,0,64166.7,1
545,0,60,7,128981.07,1,0,1,176924.21,1
497,1,47,6,0,1,1,1,90055.08,0
692,0,28,8,95059.02,2,1,0,44420.18,0
635,1,29,7,105405.97,1,1,1,149853.89,0
611,0,49,2,88915.37,3,0,0,161435.02,1
844,1,18,2,160980.03,1,0,0,145936.28,0
649,1,41,0,0,2,0,1,130567.02,0
815,1,37,2,110777.26,2,1,0,2383.59,0
736,0,28,2,0,2,1,1,117431.1,0
664,1,58,5,98668.18,1,1,1,60887.58,0
693,0,35,5,124151.09,1,1,0,88705.14,1
663,0,36,6,77253.5,1,0,0,35817.97,1
710,1,43,2,140080.32,3,1,1,157908.19,1
720,1,60,9,115920.62,2,0,0,157552.08,1
531,0,63,1,114715.71,1,0,1,24506.95,1
742,0,36,2,129748.54,2,0,0,47271.61,1
767,1,36,3,139180.2,1,0,0,123880.19,0
636,1,49,6,113599.74,2,1,0,158887.09,1
648,1,33,7,134944,1,1,1,117036.38,0
622,0,58,7,116922.25,1,1,0,120415.61,1
692,1,28,9,118945.09,1,0,0,16064.25,1
639,1,27,8,0,2,1,0,192247.35,0
774,0,28,1,71264.02,2,0,1,68759.57,0
571,0,35,8,0,2,0,0,84569.13,0
747,1,58,7,116313.57,1,1,1,190696.35,1
688,1,26,1,0,2,1,1,104435.94,0
611,1,49,3,0,2,1,1,142917.54,0
850,0,48,6,111962.99,1,1,0,111755.8,0
702,0,46,9,98444.19,1,0,1,109563.28,0
683,0,35,6,187530.66,2,1,1,37976.36,0
511,0,29,9,0,2,0,1,140676.98,0
790,0,46,9,0,1,0,0,14679.81,1
793,0,33,0,0,1,0,0,175544.02,0
598,1,53,10,167772.96,1,1,1,136886.86,0
421,1,28,8,122384.22,3,1,1,89017.38,1
745,1,25,5,157993.15,2,1,0,146041.45,0
580,0,42,2,123331.36,1,0,0,103516.08,1
497,1,27,9,75263.16,1,1,1,164825.04,0
720,0,43,6,137824.03,2,1,0,172557.77,0
841,0,36,5,156021.31,1,0,0,122662.98,0
642,1,34,8,0,1,1,0,72085.1,0
732,0,69,9,137453.43,1,0,1,110932.24,1
758,1,56,1,0,2,1,1,10643.38,0
630,0,31,2,112373.49,2,1,1,131167.98,0
577,0,39,10,0,2,1,0,10553.31,0
559,1,34,2,137390.11,2,1,0,9677,0
694,0,37,3,0,2,1,1,147012.22,0
553,0,48,3,0,1,0,1,30730.95,1
732,1,50,6,145338.76,1,0,0,91936.1,1
818,0,31,1,186796.37,1,0,0,178252.63,0
773,0,41,5,0,1,1,0,28266.9,1
705,1,25,0,97544.29,1,0,1,59887.15,0
667,0,48,1,97133.92,2,0,0,113316.77,1
511,0,41,8,153895.65,1,1,1,39087.42,0
567,0,49,5,134956.02,1,1,0,93953.84,1
598,1,64,1,0,2,1,0,195635.3,1
667,1,43,8,190227.46,1,1,0,97508.04,1
548,0,32,2,172448.77,1,1,0,188083.77,1
717,1,53,6,0,2,0,1,97614.87,0
594,1,38,4,0,2,0,0,186884.04,0
545,1,38,1,88293.13,2,1,1,24302.95,0
636,0,48,1,170833.46,1,1,0,110510.28,1
603,1,44,6,108122.39,2,1,0,108488.33,1
535,0,40,8,0,1,1,1,27689.77,0
629,0,45,7,129818.39,3,1,0,9217.55,1
561,1,28,7,0,2,1,0,7797.01,0
645,0,38,5,101430.3,2,0,1,4400.32,0
652,0,42,4,0,2,1,1,38152.01,0
749,0,60,6,0,1,1,0,17978.68,1
679,0,43,4,0,3,1,0,115136.51,1
643,0,45,4,45144.43,1,1,0,60917.24,1
521,1,25,7,0,2,1,1,157878.67,0
739,1,38,0,128366.44,1,1,0,12796.43,0
703,0,51,3,0,3,1,1,77294.56,1
728,0,35,8,125884.95,2,1,0,54359.02,1
718,1,35,8,0,2,1,0,94820.85,0
523,0,40,2,102967.41,1,1,0,128702.1,1
727,1,40,1,93051.64,2,1,0,71865.31,1
568,1,28,5,145105.64,2,1,0,185489.11,0
599,1,58,4,0,1,0,0,176407.15,1
672,0,45,9,0,1,1,1,92027.69,1
685,1,33,6,174912.72,1,1,1,43932.54,0
516,0,46,1,104947.72,1,1,0,115789.25,1
806,1,25,7,0,2,1,0,18461.9,0
648,0,53,6,111201.41,1,1,1,121542.29,0
596,1,47,6,0,1,1,0,74835.65,0
475,1,39,6,0,1,1,1,56999.9,1
784,1,35,3,0,2,0,0,81483.64,0
609,1,61,1,0,1,1,0,22447.85,1
555,1,51,5,0,3,1,0,189122.89,1
572,0,19,1,138657.08,1,1,1,16161.82,0
714,0,36,1,101609.01,2,1,1,447.73,0
639,1,38,5,130170.82,1,1,1,149599.62,0
520,1,61,8,133802.29,2,1,1,90304.01,0
512,1,36,1,0,1,0,1,135482.26,1
619,0,38,3,0,2,0,1,116467.35,0
775,1,52,8,109922.61,1,1,1,96823.32,1
850,0,44,5,128605.32,1,0,1,171096.2,0
724,0,37,10,68598.56,1,1,0,157862.82,0
376,0,46,6,0,1,1,0,157333.69,1
675,0,29,8,121326.42,1,1,0,133457.52,0
745,1,36,8,67226.37,1,1,0,130789.6,0
599,0,39,4,0,1,1,0,194273.2,1
715,0,38,5,118590.41,1,1,1,5684.17,1
659,1,67,4,145981.87,1,1,1,131043.2,0
684,0,48,3,73309.38,1,0,0,21228.34,1
635,0,48,8,130796.33,2,1,1,43250.3,0
571,0,66,9,111577.01,1,0,1,189271.9,0
665,0,42,2,156371.61,2,0,1,156774.94,1
706,0,44,4,129605.99,1,0,0,69865.49,0
807,0,43,0,0,2,0,1,85523.24,0
771,0,67,8,0,2,1,1,51219.8,0
850,0,31,1,108822.4,1,1,1,132173.31,0
642,1,32,7,100433.8,1,1,1,39768.59,0
529,1,63,4,96134.11,3,1,0,108732.96,1
683,0,43,4,115888.04,1,1,1,117349.19,1
663,0,42,5,124626.07,1,1,1,78004.5,0
563,0,34,6,139810.34,1,1,1,152417.79,0
544,1,37,3,84496.71,1,0,0,79972.09,0
635,1,43,5,78992.75,2,0,0,153265.31,0
750,0,38,7,97257.41,2,0,1,179883.04,0
586,0,43,8,132558.26,1,1,0,67046.83,1
652,0,48,8,133297.24,1,1,0,77764.37,0
749,0,44,0,71497.79,2,0,0,151083.8,0
668,1,32,7,0,2,1,1,777.37,0
614,0,35,6,128100.28,1,0,0,69454.24,1
551,1,31,9,82293.82,2,1,1,91565.25,0
569,1,34,0,151839.26,1,1,0,102299.81,1
659,1,31,7,149620.88,2,1,1,104533.51,0
722,0,49,3,168197.66,1,1,0,140765.57,1
615,0,35,2,97440.02,2,1,1,139816.1,0
752,0,42,3,65046.08,2,0,1,140139.28,0
661,0,28,7,95357.49,1,0,0,102297.15,0
838,1,43,9,123105.88,2,1,0,145765.83,0
610,1,29,9,0,3,0,1,83912.24,0
811,0,28,4,167738.82,2,1,1,9903.42,0
788,0,43,10,0,2,1,1,116111.51,0
646,0,42,3,175159.9,2,0,0,67124.48,1
521,1,52,5,116497.31,3,0,0,53793.1,1
444,1,45,6,0,1,1,0,130009.85,1
650,1,71,0,0,1,1,1,175380.77,0
724,1,40,10,0,1,1,0,127847.25,1
635,1,24,4,0,2,1,1,70668.77,0
496,0,43,3,0,2,0,1,199505.53,0
676,0,37,5,89634.69,1,1,1,169583.18,1
778,1,41,7,139706.31,1,1,0,63337.19,0
850,0,45,5,103909.86,1,1,0,60083.11,1
625,1,49,6,173434.9,1,1,0,165580.93,1
628,1,33,6,0,2,0,0,184230.23,0
663,1,46,3,0,2,0,1,176276.1,0
678,1,30,0,0,1,1,0,35113.08,0
521,1,30,2,107316.09,1,1,0,64299.82,0
714,0,72,3,0,1,1,1,86733.61,0
580,1,67,3,153946.14,1,1,1,7418.92,0
630,0,39,7,135483.17,1,1,0,140881.2,1
670,0,38,4,119624.54,2,1,1,110472.12,0
807,0,42,1,0,1,1,0,16500.66,1
726,0,48,4,0,1,1,0,114020.06,1
631,1,40,3,107949.45,1,1,0,52449.62,1
625,0,49,2,80816.45,1,1,1,20018.79,0
600,0,50,6,94684.27,1,1,1,50488.91,0
581,0,47,1,122949.14,1,0,0,180251.68,1
613,1,38,9,67111.65,1,1,0,78566.64,1
812,1,34,5,103818.43,1,1,1,166038.27,0
512,1,36,4,152169.12,2,0,0,38629.3,1
731,0,52,10,0,1,1,1,24998.75,1
594,1,57,6,0,1,1,0,19376.56,1
844,1,40,7,113348.14,1,1,0,31904.31,1
686,0,47,5,170935.94,1,1,0,173179.79,1
503,1,37,6,0,2,0,0,136506.86,0
535,0,31,7,111855.04,2,1,1,36278.89,0
702,1,39,8,0,2,1,0,99654.13,0
658,1,29,3,145512.84,1,1,0,20207.02,0
677,0,41,8,146720.98,2,1,1,4195.84,0
766,0,38,7,130933.74,1,0,1,2035.94,0
688,1,36,0,89772.3,1,1,0,177383.68,1
678,0,32,5,0,2,1,0,90284.47,0
796,1,24,8,0,2,1,0,61349.37,0
803,1,42,5,0,1,1,0,196466.83,1
712,1,36,2,100749.5,3,0,0,70758.37,1
715,1,41,4,94267.9,1,0,1,152821.12,1
651,1,40,4,0,2,1,1,147715.83,0
692,1,29,4,0,1,1,0,76755.99,1
756,0,39,3,100717.85,3,1,1,73406.04,1
494,1,38,7,0,2,1,1,6203.66,0
432,1,38,7,0,2,1,0,150580.88,0
512,0,32,2,123403.85,2,1,0,80120.19,0
589,1,28,7,0,2,1,0,151645.96,0
514,0,46,3,106511.85,1,1,0,55072.32,0
678,0,38,2,0,2,0,0,115068.99,0
420,0,34,1,135549.9,1,0,0,149471.13,1
679,1,38,7,110555.37,2,1,0,46522.68,0
713,0,52,0,185891.54,1,1,1,46369.57,1
833,1,59,1,130854.59,1,1,1,30722.52,1
731,0,21,8,132312.06,1,1,0,106663.46,1
608,0,62,8,144976.5,1,0,0,175836.03,1
731,0,47,1,115414.19,3,0,0,191734.67,1
756,1,29,2,117412.19,2,1,0,4888.91,0
698,1,56,1,112414.81,2,0,0,93982.02,1
779,1,33,1,158456.76,1,1,1,197000.92,1
606,1,35,7,0,1,1,0,106837.06,1
612,0,58,1,149641.53,1,1,1,115161.28,0
663,0,33,8,122528.18,1,1,0,196260.3,0
549,0,45,3,143734.01,2,1,1,96404.38,0
669,0,35,7,0,1,1,1,49108.23,1
468,1,42,9,181627.14,2,1,0,172668.39,0
618,0,37,5,96652.86,1,1,0,98686.4,1
793,1,41,9,0,2,1,0,152153.74,0
765,1,43,4,148962.76,1,0,1,173878.87,1
546,1,28,8,0,1,1,0,159254.29,0
593,0,29,5,101713.84,3,1,0,134594.99,0
613,1,34,3,0,1,1,1,41724.72,0
700,0,27,6,137963.07,1,0,0,8996.79,0
826,0,29,4,129938.07,1,0,1,190200.53,0
755,0,45,7,135643,1,0,0,143619.52,1
615,1,49,3,0,2,1,1,49872.33,0
434,0,58,9,125801.03,2,1,0,60891.8,1
513,1,35,8,0,1,1,0,76640.29,1
755,1,41,6,104817.41,1,1,0,126013.58,1
